user_id,name,gender,age,signup_date,city
user00001,Hriday Mehta,Female,23,11.22.2025,Bangalore
user00002,Jatin Laghate,Male,31,7-Jun-2025,Bangalore
user00003,Ishaan Kumar,Male,32,2025/08/07,Hyderabad
user00004,Sai Kulkarni,Male,41,25/08/2025,Bangalore
user00005,Karan Laghate,Male,42,26.22.2025,Bangalore
user06594,Tanvi Saxena,Female,23,2025-07-20,Bangalore
user00007,Aadhya Chandra,Male,34,09.22.2025,Bangalore
user00008,Nikhil Menon,Female,37,2025-08-03,Hyderabad
user00009,Tanvi Kaul,Male,42,05.22.2025,Bangalore
user00010,Bhavya Bhatt,Female,40,19/06/2025,Hyderabad
user00011,Anvay Laghate,Male,,08.22.2025,Hyderabad
user00012,Raghav Ghosh,Male,34,17/06/2025,Bangalore
user00013,Eshan Saxena,Male,19,22.22.2025,Bangalore
user00014,Uday Trivedi,Male,18,04/08/2025,Bangalore
user00015,Arjun Mehta,Male,37,2025-06-19,Bangalore
user00016,Raghav Puri,Male,23,2025-07-13,Bangalore
user00017,Parth Naidu,Female,39,24.22.2025,Bangalore
user00018,Ritesh Chandra,Female,20,18/06/2025,Bangalore
user00019,Tanmay Kapoor,Female,31,2025-08-16,Bangalore
user00020,Ritvik Prasad,Male,24,03.22.2025,Hyderabad
user00021,Daksh Gupta,Male,,18.22.2025,Bangalore
user00022,Aditya Rao,Male,38,2025/07/17,Bangalore
user00023,Akash Jain,Female,23,18/08/2025,Bangalore
user00024,Ananya Rathi,Male,38,25.22.2025,Bangalore
user00025,Akash Wadhwa,Female,40,2025/10/7,Hyderabad
user00026,Uday Trivedi,Female,34,2025-06-05,Bangalore
user00027,Arhaan Dey,Male,20,2025-05-30,Bangalore
user06594,Uday Kaushik,Male,42,09.22.2025,Bangalore
user00029,Tanya Kaushik,Female,25,10.22.2025,Bangalore
user00030,Varun Gupta,Male,33,13.22.2025,Hyderabad
user00031,Dhruv Pillai,Male,39,07/07/2025,Hyderabad
user00032,Tejas Khandelwal,Male,35,04.22.2025,Bangalore
